start time(ohne Tag),count,count_anteilig,gleitender_MW_15min,gleitender_Stundenwert,gleitender_Stundenwert_aus_MW
00:00,5,0.0016329196603527107,0.002612671456564337,0.0083333333333333,0.010450685826257348
00:15,11,0.0035924232527759633,0.0025038101458741565,0.0111111111111111,0.010015240583496626
00:30,7,0.0022860875244937948,0.0022860875244937948,0.0111111111111111,0.009144350097975179
00:45,5,0.0016329196603527107,0.001959503592423253,0.0104166666666666,0.007838014369693011
01:00,1,0.00032658393207054214,0.0013063357282821686,0.0048611111111111,0.005225342913128674
01:15,3,0.0009797517962116264,0.0008164598301763555,0.0027777777777777,0.003265839320705422
01:30,1,0.00032658393207054214,0.0008981058131939908,0.0041666666666666,0.0035924232527759633
01:45,6,0.001959503592423253,0.0008981058131939908,0.0041666666666666,0.0035924232527759633
02:00,1,0.00032658393207054214,0.0008981058131939908,0.0034722222222222,0.0035924232527759633
02:15,3,0.0009797517962116264,0.0009797517962116262,0.0027777777777777,0.003919007184846505
02:30,2,0.0006531678641410843,0.0006531678641410843,0.0027777777777777,0.002612671456564337
02:45,2,0.0006531678641410843,0.0005715218811234487,0.0020833333333333,0.0022860875244937948
03:00,0,0.0,0.0004082299150881777,0.0020833333333333,0.0016329196603527107
03:15,1,0.00032658393207054214,0.0002449379490529066,0.0020833333333333,0.0009797517962116264
03:30,0,0.0,8.164598301763554e-05,0.0006944444444444,0.00032658393207054214
03:45,0,0.0,8.164598301763554e-05,0.0006944444444444,0.00032658393207054214
04:00,0,0.0,0.0002449379490529066,0.0020833333333333,0.0009797517962116264
04:15,3,0.0009797517962116264,0.00032658393207054214,0.0020833333333333,0.0013063357282821686
04:30,1,0.00032658393207054214,0.00032658393207054214,0.0020833333333333,0.0013063357282821686
04:45,0,0.0,0.00032658393207054214,0.0020833333333333,0.0013063357282821686
05:00,0,0.0,0.0004898758981058132,0.0006944444444444,0.001959503592423253
05:15,5,0.0016329196603527107,0.0006531678641410843,0.0020833333333333,0.002612671456564337
05:30,3,0.0009797517962116264,0.0017962116263879817,0.0069444444444444,0.007184846505551927
05:45,14,0.0045721750489875895,0.002612671456564337,0.0111111111111111,0.010450685826257348
06:00,10,0.0032658393207054214,0.0030209013716525146,0.0125,0.012083605486610059
06:15,10,0.0032658393207054214,0.0038373612018288705,0.0124999999999999,0.015349444807315482
06:30,13,0.004245591116917048,0.0046538210320052256,0.0159722222222222,0.018615284128020902
06:45,24,0.007838014369693011,0.006286740692357936,0.0194444444444444,0.025146962769431742
07:00,30,0.009797517962116264,0.007838014369693011,0.0284722222222222,0.031352057478772045
07:15,29,0.009470934030045721,0.012001959503592424,0.0513888888888888,0.0480078380143697
07:30,64,0.020901371652514697,0.01298171129980405,0.0534722222222222,0.0519268451992162
07:45,36,0.011757021554539516,0.013389941214892228,0.0562499999999999,0.05355976485956891
08:00,35,0.011430437622468974,0.013961463096015677,0.0583333333333333,0.05584585238406271
08:15,36,0.011757021554539516,0.011512083605486612,0.0458333333333333,0.046048334421946446
08:30,34,0.011103853690398433,0.011430437622468976,0.0444444444444444,0.0457217504898759
08:45,35,0.011430437622468974,0.010695623775310255,0.0409722222222222,0.04278249510124102
09:00,26,0.008491182233834096,0.010205747877204442,0.0395833333333333,0.04082299150881777
09:15,30,0.009797517962116264,0.009389288047028087,0.0333333333333333,0.03755715218811235
09:30,24,0.007838014369693011,0.010450685826257348,0.04375,0.041802743305029394
09:45,48,0.015676028739386023,0.010695623775310257,0.0458333333333333,0.042782495101241026
10:00,29,0.009470934030045721,0.011022207707380799,0.0451388888888888,0.044088830829523196
10:15,34,0.011103853690398433,0.01298171129980405,0.0555555555555555,0.0519268451992162
10:30,48,0.015676028739386023,0.011757021554539518,0.04375,0.04702808621815807
10:45,33,0.01077726975832789,0.012165251469627696,0.0486111111111111,0.048661005878510785
11:00,34,0.011103853690398433,0.01314500326583932,0.0548611111111111,0.05258001306335728
11:15,46,0.015022860875244938,0.012655127367733507,0.0506944444444444,0.05062050947093403
11:30,42,0.013716525146962769,0.013226649248856958,0.0569444444444444,0.05290659699542783
11:45,40,0.013063357282821686,0.01534944480731548,0.0645833333333333,0.06139777922926192
12:00,60,0.019595035924232528,0.01551273677335075,0.0680555555555555,0.062050947093403
12:15,48,0.015676028739386023,0.01641084258654474,0.0694444444444444,0.06564337034617897
12:30,53,0.017308948399738733,0.018288700195950358,0.0756944444444444,0.07315480078380143
12:45,63,0.020574787720444153,0.017798824297844545,0.075,0.07119529719137818
13:00,54,0.017635532331809273,0.01935009797517962,0.075,0.07740039190071848
13:15,67,0.021881123448726322,0.018941868060091443,0.0770833333333333,0.07576747224036577
13:30,48,0.015676028739386023,0.01894186806009144,0.08125,0.07576747224036576
13:45,63,0.020574787720444153,0.017962116263879814,0.075,0.07184846505551926
14:00,42,0.013716525146962769,0.015104506858262574,0.0611111111111111,0.060418027433050296
14:15,32,0.010450685826257348,0.014288047028086217,0.0569444444444444,0.05715218811234487
14:30,38,0.012410189418680601,0.014043109079033311,0.0534722222222222,0.056172436316133244
14:45,60,0.019595035924232528,0.01641084258654474,0.0618055555555555,0.06564337034617897
15:00,71,0.023187459177008492,0.017227302416721095,0.0645833333333333,0.06890920966688438
15:15,42,0.013716525146962769,0.018533638145003264,0.0680555555555555,0.07413455258001306
15:30,54,0.017635532331809273,0.018370346178967996,0.0618055555555555,0.07348138471587198
15:45,58,0.018941868060091443,0.017308948399738733,0.0555555555555555,0.06923579359895493
16:00,58,0.018941868060091443,0.019676681907250165,0.0708333333333333,0.07870672762900066
16:15,71,0.023187459177008492,0.020574787720444153,0.0743055555555555,0.08229915088177661
16:30,65,0.021227955584585238,0.020329849771391247,0.075,0.08131939908556499
16:45,55,0.017962116263879817,0.0197583278902678,0.0756944444444444,0.0790333115610712
17:00,51,0.016655780535597648,0.019105160026126715,0.0770833333333333,0.07642064010450686
17:15,63,0.020574787720444153,0.017880470280862183,0.0826388888888888,0.07152188112344873
17:30,50,0.016329196603527107,0.020166557805355978,0.0972222222222222,0.08066623122142391
17:45,83,0.027106466361854997,0.020574787720444153,0.1006944444444444,0.08229915088177661
18:00,56,0.018288700195950358,0.020574787720444153,0.0881944444444444,0.08229915088177661
18:15,63,0.020574787720444153,0.021309601567602872,0.0833333333333333,0.08523840627041149
18:30,59,0.019268451992161987,0.019268451992161987,0.0756944444444444,0.07707380796864795
18:45,58,0.018941868060091443,0.018451992161985634,0.0729166666666666,0.07380796864794253
19:00,46,0.015022860875244938,0.017635532331809277,0.0763888888888889,0.07054212932723711
19:15,53,0.017308948399738733,0.01714565643370346,0.0756944444444444,0.06858262573481384
19:30,53,0.017308948399738733,0.01592096668843893,0.0694444444444444,0.06368386675375572
19:45,43,0.014043109079033311,0.014777922926192032,0.0604166666666666,0.05911169170476813
20:00,32,0.010450685826257348,0.012410189418680601,0.05,0.049640757674722404
20:15,24,0.007838014369693011,0.011267145656433704,0.0395833333333333,0.045068582625734814
20:30,39,0.012736773350751143,0.011920313520574786,0.0388888888888888,0.047681254082299146
20:45,51,0.016655780535597648,0.012655127367733509,0.0423611111111111,0.050620509470934036
21:00,41,0.013389941214892228,0.01224689745264533,0.0409722222222222,0.04898758981058132
21:15,19,0.0062050947093403004,0.011512083605486612,0.0465277777777777,0.046048334421946446
21:30,30,0.009797517962116264,0.009634225996080992,0.0402777777777777,0.03853690398432397
21:45,28,0.009144350097975179,0.008491182233834094,0.0402777777777777,0.03396472893533638
22:00,27,0.008817766165904637,0.009389288047028085,0.0465277777777777,0.03755715218811234
22:15,30,0.009797517962116264,0.008082952318745916,0.0368055555555555,0.032331809274983664
22:30,14,0.0045721750489875895,0.007184846505551927,0.0326388888888888,0.028739386022207707
22:45,17,0.005551926845199217,0.006858262573481385,0.0236111111111111,0.02743305029392554
23:00,23,0.007511430437622469,0.006205094709340301,0.0145833333333333,0.024820378837361205
23:15,22,0.007184846505551927,0.005715218811234487,0.0145833333333333,0.022860875244937948
23:30,8,0.002612671456564337,0.005388634879163945,0.0125,0.02155453951665578
23:45,13,0.004245591116917048,0.004681036359677771,0.0090277777777777,0.018724145438711082
