,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
FFB12_OTCamera09,0.16056196688409433,0.11741093828399397,0.13296537882589063,0.17511289513296538,0.2584044154540893,0.12744606121424987,0.02809834420471651
FFB12_OTCamera19,,,,,,,
FFB14_Nord,0.1444915254237288,0.15169491525423728,0.19322033898305085,0.2860169491525424,0.14279661016949152,0.04576271186440678,0.036016949152542374
FFB14_West,0.15925925925925927,0.1664488017429194,0.21241830065359477,0.18191721132897604,0.15860566448801744,0.06601307189542484,0.05533769063180828
FFB1_Ost,0.13445273631840796,0.1398009950248756,0.21131840796019902,0.16977611940298507,0.15460199004975125,0.13034825870646766,0.05970149253731343
FFB1_West,0.15021886191802628,0.1296259450855551,0.20105451651412654,0.20732192598487864,0.15071627536808596,0.10316354954237962,0.05789892558694787
FFB3_OTCamera17,0.12087490406753645,0.13046815042210283,0.11051419800460476,0.12010744435917114,0.19378357636224097,0.10974673829623945,0.21450498848810437
FFB3_OTCamera18,0.10810810810810811,0.02702702702702703,0.10810810810810811,0.2972972972972973,0.21621621621621623,0.10810810810810811,0.13513513513513514
GI11_Nordwest,0.12995631255875684,0.1371453851683902,0.22446496709616767,0.15412265663883204,0.14422385666095228,0.14466626112923742,0.06542056074766354
GI11_Suedost,0.12458600521457262,0.12338806285674019,0.215347755619759,0.14114579663166796,0.1516454090620816,0.16912127404693114,0.07476569656824748
GI2_Nordwest,0.13269358041032428,0.1257445400397088,0.23240679461725128,0.14251047871166997,0.12883300242664902,0.1331347893227443,0.10467681447165232
GI2_Suedost,0.15025625097064763,0.15685665476005592,0.23707097375368846,0.15056685820779625,0.13620127348967231,0.09877310141326293,0.07027488740487653
GI3_Nord,0.10832497492477432,0.14198150005572271,0.16739106207511423,0.13930680931683942,0.18310487016605373,0.15011701771982613,0.10977376574166946
GI3_Sued,0.08955276030747729,0.1701956673654787,0.1554856743535989,0.15468204053109713,0.2238993710691824,0.13679245283018868,0.06939203354297693
KA1_Ost,0.12324185248713551,0.1225557461406518,0.1144082332761578,0.15617495711835336,0.1474271012006861,0.21415094339622642,0.12204116638078902
KA1_West,0.12349077882446596,0.10620936712219715,0.1143691123789306,0.14515059042059175,0.16953031710229535,0.2227013400557251,0.11854849409579409
KA3_Nord,0.16285329744279947,0.13189771197846567,0.13458950201884254,0.15343203230148048,0.17631224764468373,0.1009421265141319,0.13997308209959622
KA3_Sued,0.13370473537604458,0.13649025069637882,0.16016713091922005,0.14763231197771587,0.11420612813370473,0.10445682451253482,0.20334261838440112
KA4_Nordwest,0.1438721136767318,0.11900532859680284,0.15097690941385436,0.13321492007104796,0.12788632326820604,0.11190053285968028,0.21314387211367672
KA4_Suedost,0.15195071868583163,0.1273100616016427,0.1457905544147844,0.16119096509240247,0.1375770020533881,0.12012320328542095,0.15605749486652978
KA6_Ost,0.1520487412961971,0.14548741296197107,0.12332619175147295,0.14341189073379754,0.1643010176754151,0.18050348152115694,0.09092126405998929
KA6_West,0.1578320144913719,0.15621126894842216,0.14434169129564306,0.1393841166936791,0.16407665173038422,0.16793783964152922,0.07021641719897034
KA9_Nord,0.11204323626683875,0.19536984754376058,0.2233604904412358,0.13196741147051705,0.12478825522303783,0.1432604662418327,0.06921029281277728
KA9_Sued,0.10513207547169812,0.19871698113207548,0.23471698113207548,0.1320754716981132,0.1169811320754717,0.12633962264150944,0.0860377358490566
M11_Nord,0.15162454873646208,0.11913357400722022,0.09025270758122744,0.15162454873646208,0.20216606498194944,0.16967509025270758,0.11552346570397112
M11_Sued,0.17529758876793164,0.11109980669447553,0.14599654084850952,0.1426391291077424,0.1776376030114966,0.16196968155458338,0.08535965001526097
M14_Nord,0.026308831306187202,0.09525383395029086,0.13580777366472765,0.16714040190375462,0.20032390269698572,0.3079058699101005,0.06725938656795347
M14_Sued,0.13905936418370612,0.17652191617463134,0.10476716791250981,0.12300398475902388,0.15869230098019255,0.2439719612576714,0.05398330473226491
M4_Nord,0.1404786680541103,0.13860561914672218,0.14297606659729448,0.16024973985431842,0.15733610822060354,0.15858480749219564,0.10176899063475546
M4_Sued,,0.060749881347887995,0.16896060749881348,0.21547223540579022,0.23825344091124823,0.1874703369719981,0.129093497864262
M6_Nord,0.14445479962721341,0.12721342031686858,0.08760484622553588,0.12022367194780988,0.18173345759552656,0.2479030754892824,0.09086672879776328
M6_Sued,0.08756345177664974,0.21410442349528644,0.1411348803480783,0.1418600435097897,0.1720449601160261,0.20667150108774474,0.03662073966642494
